CustomerID,Recency,Frequency,Monetary
12347,NULL,1,711.79
12348,NULL,1,892.8
12370,NULL,2,1868.02
12377,NULL,1,1001.52
12386,NULL,1,258.9
12395,NULL,2,679.92
12417,NULL,1,291.34
12427,NULL,1,303.5
12429,NULL,1,1281.5
12431,NULL,2,773.95
12433,NULL,2,3787.12
12441,NULL,1,173.55
12471,NULL,4,3874.36
12472,NULL,1,1631.3
12476,NULL,1,12.45
12481,NULL,1,159.38
12494,NULL,2,62.55
12540,NULL,1,881.01
12551,NULL,1,168
12557,NULL,1,620
12567,NULL,2,1942.38
12577,NULL,1,195.89
12583,NULL,1,855.86
12600,NULL,2,274.8
12621,NULL,2,1383.65
12647,NULL,4,1193.6
12662,NULL,1,261.48
12668,NULL,1,469.87
12681,NULL,1,1033.52
12682,NULL,2,1075.29
12683,NULL,2,1063.08
12686,NULL,1,89.14
12691,NULL,1,180
12705,NULL,1,858
12708,NULL,1,196.44
12709,NULL,2,1315.69
12712,NULL,2,470.63
12720,NULL,2,657.13
12725,NULL,1,427.8
12726,NULL,1,170.28
12731,NULL,1,1071.9
12738,NULL,1,155.35
12747,NULL,2,706.27
12748,NULL,31,4119.24
12753,NULL,1,3590.59
12755,NULL,1,3794.4
12763,NULL,1,320.08
12766,NULL,1,1149.29
12779,NULL,1,248.16
12782,NULL,1,463.5
12785,NULL,1,311.95
12791,NULL,1,192.6
12793,NULL,1,131.8
12797,NULL,1,254.03
12808,NULL,1,129.4
12826,NULL,1,155
12829,NULL,1,85.75
12838,NULL,1,390.79
12839,NULL,2,737.45
12841,NULL,2,505.99
12855,NULL,1,38.1
12867,NULL,1,362.79
12868,NULL,1,203.3
12872,NULL,1,378.53
12875,NULL,1,293.76
12877,NULL,1,150.06
12913,NULL,1,417.62
12915,NULL,1,199.65
12921,NULL,2,687.8
12928,NULL,1,392.34
12931,NULL,2,177
12942,NULL,1,258.75
12947,NULL,1,304.04
12963,NULL,1,365.8
12967,NULL,2,1660.9
12971,NULL,4,321.59
12980,NULL,1,889.32
12989,NULL,1,202.5
13000,NULL,1,201.75
13004,NULL,1,357.01
13011,NULL,1,50.55
13013,NULL,2,1528.34
13021,NULL,1,157.35
13030,NULL,1,427.74
13033,NULL,1,190.55
13034,NULL,1,165.86
13047,NULL,3,366.63
13050,NULL,3,930.37
13065,NULL,1,205.86
13069,NULL,4,644.12
13077,NULL,1,313.72
13078,NULL,2,881.16
13081,NULL,2,2366.78
13089,NULL,8,5953.21
13090,NULL,3,1008.4
13092,NULL,1,185.45
13093,NULL,3,3795.51
13094,NULL,1,223.68
13097,NULL,1,304.9
13102,NULL,2,673.92
13108,NULL,1,350.06
13113,NULL,1,372.97
13117,NULL,2,388.15
13124,NULL,1,1256.32
13126,NULL,2,223.44
13138,NULL,1,193.23
13140,NULL,1,159.51
13145,NULL,1,295
13148,NULL,1,309.4
13155,NULL,1,379.7
13173,NULL,1,165.94
13174,NULL,1,1415.97
13178,NULL,1,710
13198,NULL,1,384.55
13199,NULL,2,711.8
13209,NULL,1,318.85
13211,NULL,1,110.7
13221,NULL,1,498.16
13225,NULL,1,1206.72
13230,NULL,1,93.45
13238,NULL,1,91.15
13240,NULL,1,224.07
13255,NULL,1,225.7
13267,NULL,2,622.3
13269,NULL,2,662.17
13270,NULL,1,590
13295,NULL,1,201.2
13305,NULL,1,136.2
13317,NULL,2,238.05
13319,NULL,2,759.28
13324,NULL,1,650.1
13327,NULL,2,745
13329,NULL,1,304.2
13369,NULL,1,308.28
13370,NULL,1,754.87
13402,NULL,1,308.28
13408,NULL,5,3031.2
13418,NULL,5,1579.62
13426,NULL,1,336.98
13448,NULL,3,829.54
13455,NULL,1,692.94
13458,NULL,1,1185.86
13468,NULL,4,911
13488,NULL,1,1381.92
13491,NULL,2,196.4
13495,NULL,2,865.43
13496,NULL,1,501.01
13497,NULL,1,153.5
13506,NULL,1,301.12
13520,NULL,1,303.4
13523,NULL,1,566.95
13531,NULL,1,305.45
13534,NULL,2,283.2
13564,NULL,1,540
13569,NULL,1,118.32
13576,NULL,1,349.15
13579,NULL,1,164.7
13599,NULL,2,352.84
13611,NULL,1,303.15
13627,NULL,1,311.19
13649,NULL,1,197.8
13652,NULL,1,308.8
13668,NULL,1,177.66
13694,NULL,2,2897.04
13705,NULL,1,318.14
13715,NULL,3,496.63
13747,NULL,1,79.6
13748,NULL,1,204
13756,NULL,3,1004.4
13758,NULL,2,718.85
13767,NULL,6,2439.36
13769,NULL,1,322.3
13777,NULL,9,6840.16
13786,NULL,1,230.4
13787,NULL,1,106.4
13798,NULL,2,4170.66
13807,NULL,1,112.6
13831,NULL,1,408
13838,NULL,1,238.11
13842,NULL,1,310.57
13846,NULL,1,411.4
13848,NULL,1,320
13854,NULL,2,609.44
13869,NULL,1,323.62
13874,NULL,1,540.45
13880,NULL,1,97.8
13890,NULL,1,190.35
13941,NULL,1,1095.12
13948,NULL,1,102
13959,NULL,1,214.74
13963,NULL,1,151.3
13969,NULL,1,317.59
13982,NULL,1,428.6
13983,NULL,1,329.36
13984,NULL,1,154.8
13999,NULL,1,302.1
14001,NULL,1,301.24
14016,NULL,1,753.74
14030,NULL,2,676.5
14031,NULL,3,2568.95
14032,NULL,2,619.42
14037,NULL,1,111.8
14045,NULL,1,326.4
14047,NULL,1,286.92
14051,NULL,2,1100.12
14057,NULL,2,925.92
14060,NULL,3,874.04
14062,NULL,1,966.62
14078,NULL,1,136.24
14081,NULL,1,423.52
14082,NULL,1,182.25
14083,NULL,1,309.54
14085,NULL,2,799.29
14092,NULL,1,250.65
14107,NULL,1,363.24
14135,NULL,2,804.25
14142,NULL,1,311.81
14146,NULL,1,1241.43
14150,NULL,1,306.18
14156,NULL,1,322.2
14159,NULL,1,193.22
14161,NULL,1,283.15
14176,NULL,1,159.55
14180,NULL,4,896.25
14189,NULL,1,311.24
14201,NULL,1,67.24
14210,NULL,1,304.95
14215,NULL,1,166
14217,NULL,1,118.3
14220,NULL,1,312.98
14236,NULL,1,189.3
14237,NULL,1,161
14243,NULL,2,472
14256,NULL,1,523.86
14282,NULL,1,571
14290,NULL,1,777.56
14293,NULL,1,364.92
14298,NULL,3,2973.06
14299,NULL,1,429.24
14307,NULL,1,783.11
14309,NULL,1,147.75
14334,NULL,1,320.15
14344,NULL,3,355.65
14355,NULL,1,174.4
14373,NULL,1,76.55
14388,NULL,1,312.8
14390,NULL,1,223.7
14395,NULL,1,308.68
14396,NULL,1,110.35
14401,NULL,1,247.38
14404,NULL,1,133.48
14409,NULL,2,328.8
14413,NULL,1,122.7
14414,NULL,1,217.2
14415,NULL,1,875.18
14419,NULL,1,124.1
14437,NULL,1,63
14440,NULL,1,656.7
14443,NULL,1,303.5
14448,NULL,1,102.35
14449,NULL,1,210.24
14466,NULL,1,379.75
14472,NULL,1,279.88
14479,NULL,1,174.4
14487,NULL,1,125.1
14491,NULL,1,127.2
14496,NULL,1,304.34
14498,NULL,1,166.22
14505,NULL,1,1050.35
14506,NULL,1,269.7
14524,NULL,1,275.45
14525,NULL,1,462.3
14527,NULL,3,786.64
14543,NULL,1,254.4
14544,NULL,1,1121.92
14560,NULL,1,408.17
14565,NULL,1,1167.41
14573,NULL,1,413.1
14576,NULL,1,35.4
14577,NULL,1,346.9
14589,NULL,1,39.75
14594,NULL,1,255
14606,NULL,6,1028.15
14608,NULL,1,204
14621,NULL,1,305.7
14625,NULL,1,585.53
14639,NULL,1,676.54
14643,NULL,1,357.94
14646,NULL,1,70.96
14667,NULL,5,1998.1
14673,NULL,1,373.49
14680,NULL,2,2875.4
14684,NULL,1,168.36
14688,NULL,1,444.98
14696,NULL,1,294.62
14702,NULL,1,318.7
14708,NULL,1,419.06
14709,NULL,1,314.1
14713,NULL,2,425.85
14723,NULL,3,471
14729,NULL,1,313.49
14733,NULL,2,3525.14
14735,NULL,1,252.2
14739,NULL,1,713.88
14741,NULL,2,495.3
14744,NULL,1,225
14748,NULL,2,470.42
14766,NULL,1,180.4
14769,NULL,1,347.01
14775,NULL,1,406.56
14796,NULL,2,1028.82
14800,NULL,2,1219.85
14810,NULL,1,180.44
14813,NULL,2,155.43
14821,NULL,1,48.8
14825,NULL,2,396.43
14829,NULL,2,385.33
14841,NULL,1,395.16
14849,NULL,5,566.89
14865,NULL,1,37.2
14866,NULL,1,103.68
14871,NULL,1,140.4
14878,NULL,1,322.01
14896,NULL,1,257.22
14898,NULL,1,98.5
14901,NULL,3,497.05
14907,NULL,3,960.69
14911,NULL,11,6685.79
14913,NULL,1,300.87
14932,NULL,1,363.53
14952,NULL,1,686.16
14961,NULL,2,1182.7
14985,NULL,1,124.51
14987,NULL,1,163.2
15002,NULL,1,631.65
15005,NULL,2,470.41
15012,NULL,1,191.06
15018,NULL,1,111.25
15021,NULL,1,205.64
15023,NULL,1,460.6
15024,NULL,2,491.22
15028,NULL,1,185.97
15032,NULL,2,2770.6
15038,NULL,1,126.43
15039,NULL,2,1317.76
15044,NULL,2,1499.75
15048,NULL,1,98.7
15061,NULL,12,19950.66
15062,NULL,1,209.08
15070,NULL,1,106.2
15078,NULL,2,475.15
15079,NULL,1,141.95
15081,NULL,1,111.15
15093,NULL,1,623.73
15100,NULL,2,700.8
15101,NULL,1,102.28
15107,NULL,2,177.05
15111,NULL,1,288.5
15157,NULL,1,1085.46
15159,NULL,2,1860.98
15160,NULL,1,158.16
15165,NULL,1,487.75
15180,NULL,1,87.5
15192,NULL,1,315
15194,NULL,3,1558.99
15197,NULL,1,556.5
15204,NULL,1,316.58
15211,NULL,1,383.07
15221,NULL,1,403.25
15224,NULL,2,322.08
15235,NULL,2,165.05
15246,NULL,1,186
15260,NULL,2,420.5
15271,NULL,1,111.75
15288,NULL,1,165.65
15290,NULL,1,219.6
15291,NULL,2,648.9
15298,NULL,1,397.6
15299,NULL,3,1835.01
15301,NULL,1,673.37
15304,NULL,1,123.15
15311,NULL,7,2285.91
15332,NULL,4,1661.06
15347,NULL,1,201.6
15350,NULL,1,115.65
15351,NULL,1,274.67
15353,NULL,1,311.65
15356,NULL,2,365.54
15358,NULL,2,624.55
15361,NULL,1,418.92
15363,NULL,1,326
15366,NULL,1,105.54
15373,NULL,2,537.1
15379,NULL,1,1491.46
15380,NULL,1,230.1
15384,NULL,1,303.57
15392,NULL,1,338.98
15394,NULL,1,587.66
15426,NULL,1,411.42
15454,NULL,1,179.1
15456,NULL,1,243.22
15465,NULL,2,867.85
15482,NULL,2,723.64
15485,NULL,1,950.09
15498,NULL,2,976.72
15502,NULL,3,929.4
15503,NULL,1,147.09
15512,NULL,1,101.2
15513,NULL,2,1313.5
15514,NULL,4,1884.71
15525,NULL,1,313.93
15529,NULL,2,321.46
15532,NULL,1,356.35
15544,NULL,1,354.54
15545,NULL,1,135.33
15547,NULL,1,767.37
15555,NULL,3,989.82
15563,NULL,1,270.19
15570,NULL,3,1064.64
15574,NULL,3,590.15
15581,NULL,3,316.76
15596,NULL,1,402.32
15601,NULL,2,1236.45
15602,NULL,2,152.55
15605,NULL,1,194.85
15615,NULL,3,1081.19
15620,NULL,1,424.49
15628,NULL,1,319.18
15640,NULL,3,2766.69
15641,NULL,1,308.37
15646,NULL,1,189.8
15649,NULL,1,510
15658,NULL,1,306.2
15660,NULL,1,209.3
15680,NULL,1,478.89
15689,NULL,1,103.5
15694,NULL,3,847.33
15708,NULL,1,350.68
15713,NULL,1,171.15
15716,NULL,1,547.1
15723,NULL,1,203.1
15727,NULL,1,1536.85
15732,NULL,1,138.1
15738,NULL,1,329.65
15750,NULL,2,340.52
15752,NULL,1,259.65
15759,NULL,1,97.24
15769,NULL,1,91.8
15777,NULL,1,365.55
15780,NULL,1,177.15
15789,NULL,1,351.3
15805,NULL,1,370.8
15808,NULL,2,2249.85
15811,NULL,2,438.8
15822,NULL,1,440.2
15823,NULL,1,15
15827,NULL,2,190.93
15838,NULL,1,957.5
15854,NULL,1,230.1
15856,NULL,2,2312.54
15858,NULL,1,383.93
15860,NULL,1,102.66
15862,NULL,1,354.23
15867,NULL,2,314.3
15880,NULL,1,343.28
15881,NULL,2,155.25
15882,NULL,2,371.32
15889,NULL,1,297.92
15894,NULL,1,156.74
15898,NULL,2,521.69
15899,NULL,1,56.25
15916,NULL,2,232.45
15919,NULL,1,270.72
15922,NULL,1,369.5
15923,NULL,1,127.08
15945,NULL,1,181
15950,NULL,1,428.82
15953,NULL,1,209.84
15955,NULL,1,572.38
15965,NULL,1,156.19
15973,NULL,1,307.82
15983,NULL,3,1148.27
15984,NULL,1,122.7
15987,NULL,1,113.48
15996,NULL,1,263.25
15998,NULL,1,863.39
16003,NULL,1,1181
16010,NULL,1,110.1
16011,NULL,2,406.1
16013,NULL,5,2973
16016,NULL,1,382.27
16019,NULL,1,219.1
16029,NULL,5,12633.12
16033,NULL,2,309.69
16037,NULL,1,300.46
16048,NULL,2,256.44
16059,NULL,1,118.25
16062,NULL,1,247.56
16065,NULL,1,372.09
16081,NULL,1,157.6
16083,NULL,1,337.98
16086,NULL,1,177.26
16098,NULL,1,430.6
16122,NULL,1,105.72
16125,NULL,1,289.35
16134,NULL,1,283.53
16140,NULL,1,124.14
16143,NULL,1,355.75
16145,NULL,1,302.78
16150,NULL,1,393.42
16153,NULL,1,215.01
16161,NULL,3,576.3
16163,NULL,1,441.6
16168,NULL,1,275.8
16186,NULL,1,307.68
16191,NULL,2,627.6
16202,NULL,1,365.27
16203,NULL,1,170.7
16210,NULL,4,7000.64
16218,NULL,1,471.3
16221,NULL,1,166.74
16233,NULL,1,147.4
16241,NULL,1,277.65
16244,NULL,1,1056.63
16250,NULL,1,226.14
16255,NULL,1,374.25
16265,NULL,2,840.81
16271,NULL,1,133.22
16274,NULL,1,357.95
16293,NULL,1,378.75
16306,NULL,1,68.1
16316,NULL,1,308.22
16327,NULL,1,535.6
16353,NULL,3,408
16365,NULL,2,368.46
16367,NULL,1,170.91
16385,NULL,1,148.23
16393,NULL,2,291.55
16402,NULL,1,211.8
16411,NULL,1,131.5
16422,NULL,2,1685.6
16442,NULL,1,151.66
16455,NULL,3,531.98
16456,NULL,1,787.4
16458,NULL,1,193.9
16470,NULL,1,216.34
16477,NULL,1,225.65
16499,NULL,2,365.45
16503,NULL,1,488.09
16510,NULL,1,248.1
16519,NULL,1,103.7
16520,NULL,1,325.76
16525,NULL,2,802.44
16531,NULL,1,92.82
16539,NULL,2,747.25
16546,NULL,1,299.4
16550,NULL,1,554.66
16552,NULL,1,95.29
16553,NULL,2,1609.44
16556,NULL,1,310.85
16558,NULL,2,880.55
16560,NULL,1,332.18
16565,NULL,1,173.7
16583,NULL,1,233.45
16596,NULL,1,120.65
16607,NULL,2,654.82
16634,NULL,1,164.8
16638,NULL,2,70.8
16654,NULL,1,227.4
16656,NULL,1,428.76
16658,NULL,1,123.24
16665,NULL,1,135.4
16670,NULL,1,403.61
16679,NULL,1,129.75
16684,NULL,4,3113.4
16686,NULL,1,364.98
16700,NULL,1,336.94
16701,NULL,1,476.76
16705,NULL,2,1131.72
16710,NULL,2,524.97
16711,NULL,1,214.2
16713,NULL,1,414.43
16717,NULL,1,307.25
16718,NULL,1,623.75
16719,NULL,1,430.73
16722,NULL,2,799.52
16725,NULL,3,327.2
16726,NULL,1,129.57
16727,NULL,1,272.82
16743,NULL,1,430.28
16746,NULL,1,311.64
16752,NULL,1,207.5
16754,NULL,1,2002.4
16770,NULL,2,262.2
16775,NULL,1,231.9
16779,NULL,2,687.83
16781,NULL,1,311.25
16782,NULL,2,577.99
16795,NULL,1,414.88
16805,NULL,1,214.77
16812,NULL,1,479.35
16814,NULL,1,273.29
16816,NULL,1,75.78
16817,NULL,2,367.3
16835,NULL,1,81.75
16839,NULL,1,552.24
16858,NULL,1,375.69
16863,NULL,1,164.25
16873,NULL,1,2157.64
16883,NULL,1,128.03
16885,NULL,1,190.65
16891,NULL,1,232.26
16893,NULL,1,145.93
16898,NULL,1,116.08
16899,NULL,1,170.55
16904,NULL,2,338.7
16905,NULL,1,254.4
16907,NULL,1,182.02
16916,NULL,1,198.08
16919,NULL,2,540.01
16923,NULL,1,550.5
16926,NULL,1,230.25
16927,NULL,1,218.1
16928,NULL,1,116.25
16931,NULL,2,364.66
16945,NULL,1,279.85
16950,NULL,1,172
16954,NULL,1,346.8
16955,NULL,2,189.1
16983,NULL,1,163.49
16985,NULL,1,933.32
17001,NULL,1,397.96
17007,NULL,2,207.12
17017,NULL,5,2357.64
17019,NULL,1,358.82
17025,NULL,2,160.97
17026,NULL,1,33.15
17033,NULL,1,307.8
17041,NULL,1,304.5
17059,NULL,1,722.36
17062,NULL,3,435.73
17068,NULL,2,297.45
17069,NULL,2,583.2
17076,NULL,1,151.5
17085,NULL,1,452.99
17091,NULL,1,293.45
17097,NULL,1,174.72
17126,NULL,1,212.6
17135,NULL,1,215.58
17146,NULL,1,298.25
17158,NULL,1,413.79
17179,NULL,1,243
17181,NULL,1,155.52
17188,NULL,1,513.64
17189,NULL,1,227.22
17191,NULL,3,510.11
17194,NULL,1,252.62
17198,NULL,2,521.66
17211,NULL,2,597.52
17213,NULL,1,312.9
17214,NULL,1,171.05
17218,NULL,3,606.28
17220,NULL,1,317.5
17223,NULL,1,292.84
17227,NULL,1,142.25
17228,NULL,2,355.95
17230,NULL,1,1761.26
17231,NULL,1,232.01
17235,NULL,1,341.9
17236,NULL,1,126.28
17238,NULL,2,370.09
17243,NULL,3,855.05
17251,NULL,1,283.28
17259,NULL,1,381.64
17262,NULL,1,268.86
17287,NULL,2,222.7
17288,NULL,1,133.56
17293,NULL,1,346.14
17303,NULL,1,250.04
17315,NULL,1,108.92
17320,NULL,1,450.92
17324,NULL,1,127.05
17338,NULL,1,767.6
17339,NULL,1,60
17340,NULL,1,2671.27
17341,NULL,1,513.6
17343,NULL,1,193.64
17346,NULL,2,247.84
17358,NULL,1,246.7
17371,NULL,1,97.63
17372,NULL,2,370.78
17375,NULL,1,109.71
17377,NULL,3,785.08
17381,NULL,3,3603.72
17392,NULL,1,312.41
17396,NULL,1,397.5
17402,NULL,2,459.97
17404,NULL,2,3834.3
17406,NULL,1,702.1
17412,NULL,2,447.76
17419,NULL,2,374.27
17420,NULL,1,130.85
17428,NULL,2,893.95
17430,NULL,1,112.6
17449,NULL,1,684.26
17450,NULL,2,2028.84
17454,NULL,1,165.85
17456,NULL,1,249.86
17460,NULL,2,70.3
17470,NULL,1,178.4
17491,NULL,1,327.4
17496,NULL,1,271.05
17511,NULL,3,6711.08
17519,NULL,1,335.3
17524,NULL,1,145
17525,NULL,1,422.7
17526,NULL,2,238.6
17530,NULL,1,300.64
17551,NULL,1,306.84
17552,NULL,2,298.52
17567,NULL,1,517.95
17572,NULL,1,70.8
17576,NULL,2,297
17580,NULL,1,46.85
17581,NULL,2,786.78
17591,NULL,1,406.6
17596,NULL,1,392.62
17611,NULL,1,244.19
17616,NULL,1,326.4
17618,NULL,1,320.28
17629,NULL,1,238.65
17643,NULL,1,101.55
17646,NULL,1,251
17655,NULL,1,676.1
17659,NULL,2,359.95
17671,NULL,1,394.18
17674,NULL,1,300.66
17675,NULL,2,1019.12
17676,NULL,1,300.7
17677,NULL,4,1616.6
17682,NULL,1,391.5
17685,NULL,2,463.02
17690,NULL,4,687.9
17691,NULL,2,290.4
17692,NULL,1,343.26
17696,NULL,2,175.6
17706,NULL,3,477.83
17720,NULL,1,102
17722,NULL,1,910.14
17732,NULL,1,303.97
17735,NULL,1,454.6
17739,NULL,1,360.06
17744,NULL,1,377.52
17752,NULL,1,80.64
17757,NULL,4,565.8
17760,NULL,1,172.54
17787,NULL,1,736.28
17790,NULL,5,399.55
17796,NULL,1,114.65
17799,NULL,1,223.48
17802,NULL,1,100.2
17809,NULL,3,1251.5
17812,NULL,1,217.55
17816,NULL,1,16.21
17819,NULL,2,980.12
17827,NULL,3,1271.8
17838,NULL,2,935.56
17841,NULL,6,2473.07
17848,NULL,1,97.3
17850,NULL,34,5391.21
17855,NULL,1,208.97
17857,NULL,2,1340.7
17858,NULL,2,1556.85
17860,NULL,1,252.8
17863,NULL,1,384.72
17865,NULL,2,1079.83
17869,NULL,1,214.32
17870,NULL,1,326.4
17873,NULL,1,215.15
17880,NULL,1,458.92
17884,NULL,2,324.62
17888,NULL,1,29.43
17890,NULL,1,476.96
17894,NULL,3,380.51
17897,NULL,2,434.62
17905,NULL,1,201.75
17908,NULL,1,243.28
17912,NULL,4,289.41
17913,NULL,1,218.05
17917,NULL,1,110.91
17920,NULL,2,735.91
17924,NULL,1,279
17925,NULL,1,244.08
17937,NULL,2,2153.88
17949,NULL,1,1314
17950,NULL,2,263.17
17951,NULL,2,409.5
17954,NULL,2,128.68
17961,NULL,1,127.55
17964,NULL,1,261.76
17965,NULL,2,156.8
17967,NULL,1,123.07
17968,NULL,1,277.35
17969,NULL,1,125.2
17975,NULL,2,621.49
17976,NULL,1,353.19
17978,NULL,1,300.92
17980,NULL,1,295.2
17990,NULL,1,168
17999,NULL,1,190.34
18004,NULL,1,169.47
18011,NULL,1,102.79
18016,NULL,1,156.65
18037,NULL,1,31.3
18041,NULL,3,634.29
18043,NULL,1,316.46
18044,NULL,1,74.25
18050,NULL,1,74.4
18055,NULL,3,1751.12
18061,NULL,1,405.16
18065,NULL,2,345.02
18071,NULL,1,258.95
18074,NULL,1,489.6
18075,NULL,1,198.95
18077,NULL,2,396.33
18085,NULL,1,303.9
18092,NULL,1,1485.72
18102,NULL,4,27834.61
18109,NULL,2,552.75
18113,NULL,1,76.32
18116,NULL,2,311.88
18118,NULL,2,608.51
18119,NULL,1,181.12
18144,NULL,2,502.65
18156,NULL,1,206.23
18168,NULL,2,449.94
18176,NULL,1,476.35
18178,NULL,1,300.65
18219,NULL,2,390.06
18223,NULL,1,501.69
18225,NULL,1,30
18229,NULL,2,653.2
18239,NULL,1,438.1
18245,NULL,1,365.73
18259,NULL,1,376.3
18260,NULL,1,230.7
18269,NULL,1,168.6
